"","Date","Crime","Atamelang"
"571","Jul-Sep 2020","DrugCrimes",6
"572","Oct-Dec 2020","DrugCrimes",0
"573","Jan-Mar 2021","DrugCrimes",10
"574","Apr-Jun 2021","DrugCrimes",3
"575","Jul-Sep 2021","DrugCrimes",4
"576","Oct-Dec 2021","DrugCrimes",8
"577","Jan-Mar 2022","DrugCrimes",7
"578","Apr-Jun 2022","DrugCrimes",2
"579","Jul-Sep 2022","DrugCrimes",3
"580","Oct-Dec 2022","DrugCrimes",0
"581","Jan-Mar 2018","DrunkenDriving",0
"582","Apr-Jun 2018","DrunkenDriving",0
"583","Jul-Sep 2018","DrunkenDriving",0
"584","Oct-Dec 2018","DrunkenDriving",1
"585","Jan-Mar 2019","DrunkenDriving",1
"586","Apr-Jun 2019","DrunkenDriving",1
"587","Jul-Sep 2019","DrunkenDriving",1
"588","Oct-Dec 2019","DrunkenDriving",1
"589","Jan-Mar 2020","DrunkenDriving",0
"590","Apr-Jun 2020","DrunkenDriving",0
"591","Jul-Sep 2020","DrunkenDriving",0
"592","Oct-Dec 2020","DrunkenDriving",1
"593","Jan-Mar 2021","DrunkenDriving",2
"594","Apr-Jun 2021","DrunkenDriving",4
"595","Jul-Sep 2021","DrunkenDriving",1
"596","Oct-Dec 2021","DrunkenDriving",0
"597","Jan-Mar 2022","DrunkenDriving",1
"598","Apr-Jun 2022","DrunkenDriving",1
"599","Jul-Sep 2022","DrunkenDriving",0
"600","Oct-Dec 2022","DrunkenDriving",1
"601","Jan-Mar 2018","PoliceSexualOffence",0
"602","Apr-Jun 2018","PoliceSexualOffence",0
"603","Jul-Sep 2018","PoliceSexualOffence",0
"604","Oct-Dec 2018","PoliceSexualOffence",0
"605","Jan-Mar 2019","PoliceSexualOffence",0
"606","Apr-Jun 2019","PoliceSexualOffence",0
"607","Jul-Sep 2019","PoliceSexualOffence",0
"608","Oct-Dec 2019","PoliceSexualOffence",0
"609","Jan-Mar 2020","PoliceSexualOffence",0
"610","Apr-Jun 2020","PoliceSexualOffence",1
"611","Jul-Sep 2020","PoliceSexualOffence",0
"612","Oct-Dec 2020","PoliceSexualOffence",0
"613","Jan-Mar 2021","PoliceSexualOffence",0
"614","Apr-Jun 2021","PoliceSexualOffence",0
"615","Jul-Sep 2021","PoliceSexualOffence",0
"616","Oct-Dec 2021","PoliceSexualOffence",0
"617","Jan-Mar 2022","PoliceSexualOffence",0
"618","Apr-Jun 2022","PoliceSexualOffence",0
"619","Jul-Sep 2022","PoliceSexualOffence",0
"620","Oct-Dec 2022","PoliceSexualOffence",0
